codigo;titulo;anio;protagonista;edadRecomendada;numeroTemporadas;genero;rutaFoto
001;Arrow;2012;Oliver Queen;16;8;Aventura;img/arrow.jpg
002;The Sex Lives of College Girls;2021;Kimberly;18;2;Comedia;img/thesexlivesofcollegegirls.jpg
003;Teen Wolf;2011;Scott McCall;14;6;Ciencia Ficción;img/teenwolf.jpg
004;Shadowhunters;2016;Clary Fray;14;3;Ciencia Ficción;img/shadowhunters.jpg
005;Lucifer;2016;Lucifer Morningstar;16;6;Ciencia Ficción;img/lucifer.jpg
006;DC's Legends of Tomorrow;2016;Ray Palmer;16;7;Ciencia Ficción;img/dcslegendsoftomorrow.jpg
007;Flash;2014;Barry Allen;14;9;Ciencia Ficción;img/flash.jpg
008;Supergirl;2015;Kara Zor-El;12;6;Ciencia Ficción;img/supergirl.jpg
009;Greenhouse Academy;2017;Hayley Shumway;10;4;Drama;img/greenhouseacademy.jpg
010;The Vampire Diaries;2009;Elena Gilbert;14;8;Ciencia Ficción;img/thevampirediaries.jpg
011;The Originals;2013;Elijah Mikaelson;16;5;Ciencia Ficción;img/theoriginals.jpg
012;Legacies;2018;Hope Mikaelson;14;4;Ciencia Ficción;img/legacies.jpg
013;Outer Banks;2020;John B;16;3;Aventura;img/outerbanks.jpg
014;Bienvenidos a Eden;2022;Amaia;16;2;Terror;img/bienvenidosaeden.jpg
015;Sombra y Hueso;2021;Alina Starkov;14;2;Ciencia Ficción;img/sombrayhueso.jpg
016;Alguien Está Mintiendo;2021;Bronwyn Rojas;14;2;Drama;img/alguienestamintiendo.jpg
017;The Society;2019;Allie Pressman;16;1;Ciencia Ficción;img/thesociety.jpg
018;Riverdale;2017;Archie Andrews;16;7;Drama;img/riverdale.jpg
019;The A List;2018;Mia;12;2;Terror;img/thealist.jpg
020;Daybreak;2019;Josh Wheeler;16;1;Aventura;img/daybreak.jpg
021;The Warrior Nun;2020;Ava Silva;16;2;Aventura;img/thewarriornun.jpg
022;Pretty Little Liars;2010;Aria Montgomery;14;7;Drama;img/prettylittleliars.jpg
023;Prison Break;2005;Michael Scofield;16;5;Drama;img/prisonbreak.jpg
024;Por 13 Razones;2017;Clay Jensen;16;4;Drama;img/por13razones.jpg
025;The 100;2014;Clarke Griffin;14;7;Ciencia Ficción;img/the100.jpg
026;The Rain;2018;Simone Andersen;16;3;Ciencia Ficción;img/therain.jpg
027;Stranger Things;2016;Eleven;16;4;Ciencia Ficción;img/strangerthings.jpg
028;Manifest;2018;Michaela Stone;14;4;Ciencia Ficción;img/manifest.jpg
029;How I Met Your Mother;2005;Ted Mosby;16;9;Comedia;img/howimetyourmother.jpg
030;Emily in Paris;2020;Emily Cooper;12;3;Romance;img/emilyinparis.jpg
